Date: 2024-11-10 | Time: 04:56:00 | Transition: surprise -> surprise | Duration: 1.9s | Scores: {'angry': 0.39, 'disgust': 0.12, 'fear': 0.29, 'happy': 0.76, 'sad': 0.23, 'surprise': 0.71, 'neutral': 0.78}
Date: 2024-11-17 | Time: 18:49:00 | Transition: happy -> surprise | Duration: 1.94s | Scores: {'angry': 0.05, 'disgust': 0.1, 'fear': 0.16, 'happy': 0.52, 'sad': 0.25, 'surprise': 0.53, 'neutral': 0.79}
Date: 2024-11-18 | Time: 01:23:00 | Transition: neutral -> happy | Duration: 0.75s | Scores: {'angry': 0.09, 'disgust': 0.2, 'fear': 0.08, 'happy': 0.61, 'sad': 0.08, 'surprise': 0.88, 'neutral': 0.63}
Date: 2024-11-18 | Time: 05:21:00 | Transition: neutral -> surprise | Duration: 0.2s | Scores: {'angry': 0.12, 'disgust': 0.29, 'fear': 0.13, 'happy': 0.58, 'sad': 0.06, 'surprise': 0.68, 'neutral': 0.8}
Date: 2024-11-18 | Time: 07:02:00 | Transition: sad -> surprise | Duration: 1.28s | Scores: {'angry': 0.18, 'disgust': 0.1, 'fear': 0.07, 'happy': 0.62, 'sad': 0.14, 'surprise': 0.76, 'neutral': 0.53}
Date: 2024-11-18 | Time: 07:25:00 | Transition: fear -> surprise | Duration: 1.37s | Scores: {'angry': 0.21, 'disgust': 0.15, 'fear': 0.22, 'happy': 0.61, 'sad': 0.23, 'surprise': 0.89, 'neutral': 0.9}
Date: 2024-11-18 | Time: 09:49:00 | Transition: fear -> angry | Duration: 0.89s | Scores: {'angry': 0.15, 'disgust': 0.2, 'fear': 0.18, 'happy': 0.31, 'sad': 0.1, 'surprise': 0.37, 'neutral': 0.31}
Date: 2024-11-18 | Time: 11:00:00 | Transition: sad -> happy | Duration: 1.74s | Scores: {'angry': 0.06, 'disgust': 0.27, 'fear': 0.15, 'happy': 0.69, 'sad': 0.13, 'surprise': 0.76, 'neutral': 0.86}
Date: 2024-11-18 | Time: 11:26:00 | Transition: sad -> happy | Duration: 0.26s | Scores: {'angry': 0.4, 'disgust': 0.17, 'fear': 0.26, 'happy': 0.7, 'sad': 0.22, 'surprise': 0.86, 'neutral': 0.86}
Date: 2024-11-18 | Time: 12:14:00 | Transition: happy -> neutral | Duration: 0.86s | Scores: {'angry': 0.08, 'disgust': 0.12, 'fear': 0.26, 'happy': 0.83, 'sad': 0.2, 'surprise': 0.86, 'neutral': 0.52}
Date: 2024-11-18 | Time: 12:26:00 | Transition: fear -> neutral | Duration: 1.95s | Scores: {'angry': 0.11, 'disgust': 0.15, 'fear': 0.06, 'happy': 0.7, 'sad': 0.25, 'surprise': 0.53, 'neutral': 0.7}
Date: 2024-11-18 | Time: 16:06:00 | Transition: disgust -> surprise | Duration: 0.65s | Scores: {'angry': 0.14, 'disgust': 0.21, 'fear': 0.25, 'happy': 0.71, 'sad': 0.09, 'surprise': 0.81, 'neutral': 0.65}
Date: 2024-11-18 | Time: 16:13:00 | Transition: surprise -> surprise | Duration: 0.42s | Scores: {'angry': 0.17, 'disgust': 0.22, 'fear': 0.28, 'happy': 0.88, 'sad': 0.26, 'surprise': 0.81, 'neutral': 0.62}
Date: 2024-11-18 | Time: 20:31:00 | Transition: sad -> happy | Duration: 1.97s | Scores: {'angry': 0.17, 'disgust': 0.28, 'fear': 0.26, 'happy': 0.55, 'sad': 0.27, 'surprise': 0.67, 'neutral': 0.54}
Date: 2024-11-18 | Time: 21:43:00 | Transition: surprise -> surprise | Duration: 0.87s | Scores: {'angry': 0.13, 'disgust': 0.21, 'fear': 0.07, 'happy': 0.7, 'sad': 0.09, 'surprise': 0.67, 'neutral': 0.87}
Date: 2024-11-19 | Time: 00:21:00 | Transition: angry -> surprise | Duration: 1.79s | Scores: {'angry': 0.1, 'disgust': 0.18, 'fear': 0.11, 'happy': 0.69, 'sad': 0.21, 'surprise': 0.74, 'neutral': 0.58}
Date: 2024-11-19 | Time: 02:30:00 | Transition: fear -> surprise | Duration: 1.58s | Scores: {'angry': 0.37, 'disgust': 0.17, 'fear': 0.19, 'happy': 0.5, 'sad': 0.07, 'surprise': 0.69, 'neutral': 0.8}
Date: 2024-11-19 | Time: 02:44:00 | Transition: sad -> surprise | Duration: 0.59s | Scores: {'angry': 0.25, 'disgust': 0.22, 'fear': 0.15, 'happy': 0.73, 'sad': 0.11, 'surprise': 0.55, 'neutral': 0.75}
Date: 2024-11-19 | Time: 04:49:00 | Transition: sad -> neutral | Duration: 0.28s | Scores: {'angry': 0.29, 'disgust': 0.18, 'fear': 0.19, 'happy': 0.55, 'sad': 0.19, 'surprise': 0.59, 'neutral': 0.67}
Date: 2024-11-19 | Time: 06:42:00 | Transition: disgust -> neutral | Duration: 0.52s | Scores: {'angry': 0.26, 'disgust': 0.22, 'fear': 0.13, 'happy': 0.56, 'sad': 0.09, 'surprise': 0.83, 'neutral': 0.59}
Date: 2024-11-19 | Time: 09:28:00 | Transition: disgust -> surprise | Duration: 0.63s | Scores: {'angry': 0.19, 'disgust': 0.1, 'fear': 0.21, 'happy': 0.62, 'sad': 0.28, 'surprise': 0.58, 'neutral': 0.59}
Date: 2024-11-19 | Time: 15:18:00 | Transition: disgust -> surprise | Duration: 0.89s | Scores: {'angry': 0.08, 'disgust': 0.05, 'fear': 0.3, 'happy': 0.72, 'sad': 0.09, 'surprise': 0.66, 'neutral': 0.89}
Date: 2024-11-19 | Time: 16:54:00 | Transition: happy -> surprise | Duration: 0.63s | Scores: {'angry': 0.2, 'disgust': 0.05, 'fear': 0.25, 'happy': 0.66, 'sad': 0.27, 'surprise': 0.8, 'neutral': 0.59}
Date: 2024-11-19 | Time: 17:31:00 | Transition: surprise -> surprise | Duration: 0.65s | Scores: {'angry': 0.17, 'disgust': 0.22, 'fear': 0.22, 'happy': 0.85, 'sad': 0.28, 'surprise': 0.82, 'neutral': 0.8}
Date: 2024-11-19 | Time: 20:13:00 | Transition: fear -> angry | Duration: 1.7s | Scores: {'angry': 0.25, 'disgust': 0.24, 'fear': 0.28, 'happy': 0.26, 'sad': 0.06, 'surprise': 0.38, 'neutral': 0.09}
Date: 2024-11-19 | Time: 23:05:00 | Transition: surprise -> neutral | Duration: 1.19s | Scores: {'angry': 0.18, 'disgust': 0.21, 'fear': 0.08, 'happy': 0.53, 'sad': 0.13, 'surprise': 0.82, 'neutral': 0.67}
Date: 2024-11-19 | Time: 23:12:00 | Transition: angry -> surprise | Duration: 0.67s | Scores: {'angry': 0.21, 'disgust': 0.29, 'fear': 0.06, 'happy': 0.82, 'sad': 0.11, 'surprise': 0.69, 'neutral': 0.73}
Date: 2024-11-19 | Time: 23:33:00 | Transition: neutral -> neutral | Duration: 1.55s | Scores: {'angry': 0.36, 'disgust': 0.28, 'fear': 0.16, 'happy': 0.8, 'sad': 0.14, 'surprise': 0.69, 'neutral': 0.88}
Date: 2024-11-20 | Time: 00:33:00 | Transition: angry -> happy | Duration: 1.61s | Scores: {'angry': 0.13, 'disgust': 0.19, 'fear': 0.22, 'happy': 0.52, 'sad': 0.08, 'surprise': 0.85, 'neutral': 0.72}
Date: 2024-11-20 | Time: 04:23:00 | Transition: angry -> neutral | Duration: 0.22s | Scores: {'angry': 0.14, 'disgust': 0.08, 'fear': 0.18, 'happy': 0.85, 'sad': 0.18, 'surprise': 0.59, 'neutral': 0.69}
Date: 2024-11-20 | Time: 08:26:00 | Transition: fear -> neutral | Duration: 0.81s | Scores: {'angry': 0.16, 'disgust': 0.13, 'fear': 0.12, 'happy': 0.85, 'sad': 0.08, 'surprise': 0.81, 'neutral': 0.7}
Date: 2024-11-20 | Time: 09:13:00 | Transition: sad -> surprise | Duration: 0.7s | Scores: {'angry': 0.36, 'disgust': 0.06, 'fear': 0.08, 'happy': 0.62, 'sad': 0.22, 'surprise': 0.53, 'neutral': 0.85}
Date: 2024-11-20 | Time: 10:54:00 | Transition: disgust -> happy | Duration: 1.01s | Scores: {'angry': 0.34, 'disgust': 0.07, 'fear': 0.11, 'happy': 0.58, 'sad': 0.17, 'surprise': 0.68, 'neutral': 0.87}
Date: 2024-11-20 | Time: 13:21:00 | Transition: angry -> neutral | Duration: 0.53s | Scores: {'angry': 0.28, 'disgust': 0.21, 'fear': 0.06, 'happy': 0.53, 'sad': 0.22, 'surprise': 0.79, 'neutral': 0.79}
Date: 2024-11-20 | Time: 17:18:00 | Transition: fear -> happy | Duration: 0.52s | Scores: {'angry': 0.22, 'disgust': 0.1, 'fear': 0.16, 'happy': 0.69, 'sad': 0.11, 'surprise': 0.56, 'neutral': 0.66}
Date: 2024-11-20 | Time: 17:27:00 | Transition: neutral -> happy | Duration: 0.62s | Scores: {'angry': 0.36, 'disgust': 0.18, 'fear': 0.13, 'happy': 0.79, 'sad': 0.28, 'surprise': 0.68, 'neutral': 0.52}
Date: 2024-11-20 | Time: 18:47:00 | Transition: fear -> surprise | Duration: 1.75s | Scores: {'angry': 0.27, 'disgust': 0.17, 'fear': 0.23, 'happy': 0.67, 'sad': 0.24, 'surprise': 0.58, 'neutral': 0.74}
Date: 2024-11-20 | Time: 19:43:00 | Transition: happy -> neutral | Duration: 1.59s | Scores: {'angry': 0.17, 'disgust': 0.2, 'fear': 0.24, 'happy': 0.85, 'sad': 0.12, 'surprise': 0.56, 'neutral': 0.77}
Date: 2024-11-20 | Time: 19:52:00 | Transition: disgust -> surprise | Duration: 2.0s | Scores: {'angry': 0.18, 'disgust': 0.28, 'fear': 0.23, 'happy': 0.75, 'sad': 0.12, 'surprise': 0.59, 'neutral': 0.75}
Date: 2024-11-20 | Time: 20:38:00 | Transition: happy -> happy | Duration: 1.81s | Scores: {'angry': 0.31, 'disgust': 0.06, 'fear': 0.27, 'happy': 0.72, 'sad': 0.24, 'surprise': 0.83, 'neutral': 0.56}
Date: 2024-11-21 | Time: 03:03:00 | Transition: disgust -> happy | Duration: 0.51s | Scores: {'angry': 0.33, 'disgust': 0.29, 'fear': 0.14, 'happy': 0.78, 'sad': 0.29, 'surprise': 0.81, 'neutral': 0.6}
